"Date" "Value"
"328" 2013-12-17 NA
"329" 2013-12-18 NA
"330" 2013-12-19 NA
"331" 2013-12-20 NA
"332" 2013-12-21 NA
"333" 2013-12-22 NA
"334" 2013-12-23 NA
"335" 2013-12-24 NA
"336" 2013-12-25 NA
"337" 2013-12-26 NA
"338" 2013-12-27 NA
"339" 2013-12-28 NA
"340" 2013-12-29 NA
"341" 2013-12-30 NA
"342" 2013-12-31 NA
"343" 2014-01-01 NA
"344" 2014-01-02 NA
"345" 2014-01-03 NA
"346" 2014-01-04 NA
"347" 2014-01-05 NA
"348" 2014-01-06 NA
"349" 2014-01-07 NA
"350" 2014-01-08 NA
"351" 2014-01-09 NA
"352" 2014-01-10 NA
"353" 2014-01-11 NA
"354" 2014-01-12 NA
"355" 2014-01-13 NA
"356" 2014-01-14 NA
"357" 2014-01-15 NA
"358" 2014-01-16 NA
"359" 2014-01-17 NA
"360" 2014-01-18 NA
"361" 2014-01-19 NA
"362" 2014-01-20 NA
"363" 2014-01-21 NA
"364" 2014-01-22 NA
"365" 2014-01-23 NA
"366" 2014-01-24 NA
"367" 2014-01-25 NA
"368" 2014-01-26 NA
"369" 2014-01-27 NA
"370" 2014-01-28 NA
"371" 2014-01-29 NA
"372" 2014-01-30 NA
"373" 2014-01-31 NA
"374" 2014-02-01 NA
"375" 2014-02-02 NA
"376" 2014-02-03 NA
"377" 2014-02-04 NA
"378" 2014-02-05 NA
"379" 2014-02-06 NA
"380" 2014-02-07 NA
"381" 2014-02-08 NA
"382" 2014-02-09 NA
"383" 2014-02-10 NA
"384" 2014-02-11 NA
"385" 2014-02-12 NA
"386" 2014-02-13 NA
"387" 2014-02-14 NA
"388" 2014-02-15 NA
"389" 2014-02-16 NA
"390" 2014-02-17 NA
"391" 2014-02-18 NA
"392" 2014-02-19 NA
"393" 2014-02-20 NA
"394" 2014-02-21 NA
"395" 2014-02-22 NA
"396" 2014-02-23 NA
"397" 2014-02-24 NA
"398" 2014-02-25 NA
"399" 2014-02-26 NA
"400" 2014-02-27 NA
"401" 2014-02-28 NA
"402" 2014-03-01 NA
"403" 2014-03-02 NA
"404" 2014-03-03 NA
"405" 2014-03-04 NA
"406" 2014-03-05 NA
"407" 2014-03-06 NA
"408" 2014-03-07 NA
"409" 2014-03-08 NA
"410" 2014-03-09 NA
"411" 2014-03-10 NA
"412" 2014-03-11 NA
"413" 2014-03-12 NA
"414" 2014-03-13 NA
"415" 2014-03-14 NA
"416" 2014-03-15 NA
"417" 2014-03-16 NA
"418" 2014-03-17 9
"419" 2014-03-18 NA
"420" 2014-03-19 NA
"421" 2014-03-20 NA
"422" 2014-03-21 8
"423" 2014-03-22 NA
"424" 2014-03-23 NA
"425" 2014-03-24 12
"426" 2014-03-25 14
"427" 2014-03-26 NA
"428" 2014-03-27 NA
"429" 2014-03-28 NA
"430" 2014-03-29 NA
"431" 2014-03-30 NA
"432" 2014-03-31 NA
"433" 2014-04-01 NA
"434" 2014-04-02 NA
"435" 2014-04-03 NA
"436" 2014-04-04 NA
"437" 2014-04-05 NA
"438" 2014-04-06 NA
"439" 2014-04-07 NA
"440" 2014-04-08 NA
"441" 2014-04-09 NA
"442" 2014-04-10 NA
"443" 2014-04-11 NA
"444" 2014-04-12 NA
"445" 2014-04-13 NA
"446" 2014-04-14 NA
"447" 2014-04-15 NA
"448" 2014-04-16 NA
"449" 2014-04-17 NA
"450" 2014-04-18 NA
"451" 2014-04-19 NA
"452" 2014-04-20 NA
"453" 2014-04-21 NA
"454" 2014-04-22 11
"455" 2014-04-23 5
"456" 2014-04-24 7
"457" 2014-04-25 20
"458" 2014-04-26 NA
"459" 2014-04-27 NA
"460" 2014-04-28 NA
"461" 2014-04-29 NA
"462" 2014-04-30 NA
"463" 2014-05-01 NA
"464" 2014-05-02 10
"465" 2014-05-03 8
"466" 2014-05-04 NA
"467" 2014-05-05 NA
"468" 2014-05-06 NA
"469" 2014-05-07 NA
"470" 2014-05-08 NA
"471" 2014-05-09 NA
"472" 2014-05-10 NA
"473" 2014-05-11 NA
"474" 2014-05-12 40
"475" 2014-05-13 25
"476" 2014-05-14 70
"477" 2014-05-15 13
"478" 2014-05-16 10
"479" 2014-05-17 NA
"480" 2014-05-18 NA
"481" 2014-05-19 21
"482" 2014-05-20 12
"483" 2014-05-21 NA
"484" 2014-05-22 NA
"485" 2014-05-23 40
"486" 2014-05-24 NA
"487" 2014-05-25 NA
"488" 2014-05-26 NA
"489" 2014-05-27 NA
"490" 2014-05-28 NA
"491" 2014-05-29 NA
"492" 2014-05-30 NA
"493" 2014-05-31 NA
"494" 2014-06-01 NA
"495" 2014-06-02 27
"496" 2014-06-03 NA
"497" 2014-06-04 NA
"498" 2014-06-05 NA
"499" 2014-06-06 5
"500" 2014-06-07 19
"501" 2014-06-08 NA
"502" 2014-06-09 NA
"503" 2014-06-10 NA
"504" 2014-06-11 11
"505" 2014-06-12 5
"506" 2014-06-13 14
"507" 2014-06-14 5
"508" 2014-06-15 NA
"509" 2014-06-16 NA
"510" 2014-06-17 NA
"511" 2014-06-18 NA
"512" 2014-06-19 NA
"513" 2014-06-20 NA
"514" 2014-06-21 NA
"515" 2014-06-22 NA
"516" 2014-06-23 NA
"517" 2014-06-24 NA
"518" 2014-06-25 NA
"519" 2014-06-26 NA
"520" 2014-06-27 NA
"521" 2014-06-28 NA
"522" 2014-06-29 NA
"523" 2014-06-30 NA
"524" 2014-07-01 NA
"525" 2014-07-02 NA
"526" 2014-07-03 NA
"527" 2014-07-04 NA
"528" 2014-07-05 NA
"529" 2014-07-06 NA
"530" 2014-07-07 NA
"531" 2014-07-08 NA
"532" 2014-07-09 NA
"533" 2014-07-10 NA
"534" 2014-07-11 NA
"535" 2014-07-12 NA
"536" 2014-07-13 NA
"537" 2014-07-14 NA
"538" 2014-07-15 NA
"539" 2014-07-16 NA
"540" 2014-07-17 NA
"541" 2014-07-18 NA
"542" 2014-07-19 NA
"543" 2014-07-20 NA
"544" 2014-07-21 NA
"545" 2014-07-22 NA
"546" 2014-07-23 NA
"547" 2014-07-24 NA
"548" 2014-07-25 NA
"549" 2014-07-26 NA
"550" 2014-07-27 NA
"551" 2014-07-28 NA
"552" 2014-07-29 NA
"553" 2014-07-30 NA
"554" 2014-07-31 NA
"555" 2014-08-01 NA
"556" 2014-08-02 NA
"557" 2014-08-03 NA
"558" 2014-08-04 NA
"559" 2014-08-05 NA
"560" 2014-08-06 NA
"561" 2014-08-07 NA
"562" 2014-08-08 NA
"563" 2014-08-09 NA
"564" 2014-08-10 NA
"565" 2014-08-11 NA
"566" 2014-08-12 NA
"567" 2014-08-13 NA
"568" 2014-08-14 NA
"569" 2014-08-15 NA
"570" 2014-08-16 NA
"571" 2014-08-17 NA
"572" 2014-08-18 NA
"573" 2014-08-19 NA
"574" 2014-08-20 NA
"575" 2014-08-21 NA
"576" 2014-08-22 NA
"577" 2014-08-23 NA
"578" 2014-08-24 NA
"579" 2014-08-25 NA
"580" 2014-08-26 NA
"581" 2014-08-27 NA
"582" 2014-08-28 NA
"583" 2014-08-29 NA
"584" 2014-08-30 NA
"585" 2014-08-31 NA
"586" 2014-09-01 NA
"587" 2014-09-02 NA
"588" 2014-09-03 NA
"589" 2014-09-04 NA
"590" 2014-09-05 NA
"591" 2014-09-06 NA
"592" 2014-09-07 NA
"593" 2014-09-08 NA
"594" 2014-09-09 NA
"595" 2014-09-10 NA
"596" 2014-09-11 NA
"597" 2014-09-12 NA
"598" 2014-09-13 NA
"599" 2014-09-14 NA
"600" 2014-09-15 NA
"601" 2014-09-16 NA
"602" 2014-09-17 NA
"603" 2014-09-18 NA
"604" 2014-09-19 NA
"605" 2014-09-20 NA
"606" 2014-09-21 NA
"607" 2014-09-22 NA
"608" 2014-09-23 NA
"609" 2014-09-24 NA
"610" 2014-09-25 NA
"611" 2014-09-26 NA
"612" 2014-09-27 NA
"613" 2014-09-28 NA
"614" 2014-09-29 NA
"615" 2014-09-30 NA
"616" 2014-10-01 NA
"617" 2014-10-02 NA
"618" 2014-10-03 NA
"619" 2014-10-04 NA
"620" 2014-10-05 NA
"621" 2014-10-06 NA
"622" 2014-10-07 NA
"623" 2014-10-08 NA
"624" 2014-10-09 NA
"625" 2014-10-10 NA
"626" 2014-10-11 NA
"627" 2014-10-12 NA
"628" 2014-10-13 NA
"629" 2014-10-14 NA
"630" 2014-10-15 NA
"631" 2014-10-16 NA
"632" 2014-10-17 NA
"633" 2014-10-18 NA
"634" 2014-10-19 NA
"635" 2014-10-20 NA
"636" 2014-10-21 NA
"637" 2014-10-22 NA
"638" 2014-10-23 NA
"639" 2014-10-24 NA
"640" 2014-10-25 NA
"641" 2014-10-26 NA
"642" 2014-10-27 NA
"643" 2014-10-28 NA
"644" 2014-10-29 NA
"645" 2014-10-30 NA
"646" 2014-10-31 NA
"647" 2014-11-01 NA
"648" 2014-11-02 NA
"649" 2014-11-03 NA
"650" 2014-11-04 NA
"651" 2014-11-05 NA
"652" 2014-11-06 NA
"653" 2014-11-07 NA
"654" 2014-11-08 NA
"655" 2014-11-09 NA
"656" 2014-11-10 NA
"657" 2014-11-11 NA
"658" 2014-11-12 NA
"659" 2014-11-13 NA
"660" 2014-11-14 NA
"661" 2014-11-15 NA
"662" 2014-11-16 NA
"663" 2014-11-17 NA
"664" 2014-11-18 NA
"665" 2014-11-19 NA
"666" 2014-11-20 NA
"667" 2014-11-21 NA
"668" 2014-11-22 NA
"669" 2014-11-23 NA
"670" 2014-11-24 NA
"671" 2014-11-25 NA
"672" 2014-11-26 NA
"673" 2014-11-27 NA
"674" 2014-11-28 NA
"675" 2014-11-29 NA
"676" 2014-11-30 NA
"677" 2014-12-01 NA
"678" 2014-12-02 NA
"679" 2014-12-03 NA
"680" 2014-12-04 NA
"681" 2014-12-05 NA
"682" 2014-12-06 NA
"683" 2014-12-07 NA
"684" 2014-12-08 NA
"685" 2014-12-09 NA
"686" 2014-12-10 NA
"687" 2014-12-11 NA
"688" 2014-12-12 NA
"689" 2014-12-13 NA
"690" 2014-12-14 NA
"691" 2014-12-15 NA
"692" 2014-12-16 NA
"693" 2014-12-17 NA
"694" 2014-12-18 NA
"695" 2014-12-19 NA
"696" 2014-12-20 NA
"697" 2014-12-21 NA
"698" 2014-12-22 NA
"699" 2014-12-23 NA
"700" 2014-12-24 NA
"701" 2014-12-25 NA
"702" 2014-12-26 NA
"703" 2014-12-27 NA
"704" 2014-12-28 NA
"705" 2014-12-29 NA
"706" 2014-12-30 NA
"707" 2014-12-31 NA
"708" 2015-01-01 NA
"709" 2015-01-02 NA
"710" 2015-01-03 NA
"711" 2015-01-04 NA
"712" 2015-01-05 NA
"713" 2015-01-06 NA
